# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
39800.0 8550 6.076 56.991 -6.086 55.398 19.62 19.55 11.96 838.4 792.2 815.3 0.1677 0.1846 0.1761 331.3
39900.0 8551 3.813 54.962 -7.723 53.777 15.69 15.55 12.02 779.8 746.5 763.2 0.2007 0.1733 0.187 331.6
40000.0 8550 2.033 53.496 -8.454 52.609 12.65 12.4 11.99 743.2 718.8 731 0.09198 0.0573 0.07464 331.6
40100.0 8543 1.076 53.394 -8.988 52.949 12.34 12.26 11.98 739.2 726.9 733.1 -0.06135 -0.08925 -0.0753 330.6
40200.0 8537 0.999 54.407 -9.768 54.769 15.01 15.19 12 762.4 772.5 767.5 -0.1605 -0.1837 -0.1721 329.9
40300.0 8520 2.135 55.699 -10.580 55.821 18.59 18.65 11.82 809.2 812.7 810.9 -0.1368 -0.1485 -0.1427 330
40400.0 8515 3.842 56.059 -10.702 56.295 20.07 20.33 11.82 819.5 826.4 822.9 0.01089 0.0141 0.0125 330.6
40500.0 8511 5.320 55.362 -10.052 55.220 18.26 18.49 11.85 797.1 793 795 0.1612 0.1555 0.1583 329.9
40600.0 8511 5.745 53.493 -9.346 53.997 14.67 14.85 11.91 743.8 757.9 750.8 0.1843 0.1448 0.1646 330.1
40700.0 8507 5.151 52.230 -9.041 53.059 12.08 12.17 11.85 714.4 737.2 725.8 0.07135 0.03349 0.05242 330.2
40800.0 8505 3.498 52.477 -9.176 53.536 12.41 12.44 11.85 718.7 748 733.3 -0.08521 -0.1144 -0.09978 329.2
40900.0 8501 1.009 54.083 -9.247 55.767 15.69 15.79 11.95 752.2 799.8 776 -0.1891 -0.199 -0.194 328.4
41000.0 8472 -1.968 55.332 -8.640 56.579 19.45 19.35 11.65 805.8 842.5 824.2 -0.1746 -0.1357 -0.1552 328.9
41100.0 8468 -4.672 56.185 -6.576 56.977 21.19 21.17 11.69 827.5 851 839.2 -0.05001 0.08703 0.01851 329.6
41200.0 8466 -6.251 55.718 -3.764 55.201 19.09 19.32 11.77 808.5 793.6 801 0.1041 0.24 0.172 328.9
41300.0 8466 -6.647 54.373 -0.986 53.274 15.29 15.52 11.87 767.9 737.1 752.5 0.1465 0.2081 0.1773 329.2
41400.0 8464 -6.550 53.306 0.984 51.805 12.39 12.34 11.81 744.3 703 723.6 0.0563 0.06902 0.06266 329.2
41500.0 8464 -6.605 53.701 2.327 52.121 12.34 11.92 11.83 751.6 708 729.8 -0.09076 -0.09891 -0.09484 328.1
41600.0 8458 -7.168 55.338 2.986 54.031 15.26 14.62 11.93 788.1 751.3 769.7 -0.1874 -0.2078 -0.1976 327.4
41700.0 8438 -8.190 56.857 3.091 55.699 18.93 18.19 11.89 832.9 799.3 816.1 -0.1648 -0.1538 -0.1593 327.9
41800.0 8435 -9.313 57.957 2.259 56.281 20.74 19.9 12.1 850.8 802.4 826.6 -0.02019 0.02014 -2.436e-05 328.5
41900.0 8429 -10.181 56.031 1.106 54.884 18.36 18.01 11.76 818.4 785.2 801.8 0.1465 0.1687 0.1576 328
42000.0 8426 -10.308 54.246 0.395 52.973 14.59 14.33 11.66 777.5 741.5 759.5 0.1674 0.1778 0.1726 328.3
42100.0 8425 -10.200 53.224 0.750 51.739 11.92 11.82 11.62 752.9 711.5 732.2 0.05408 0.06633 0.06021 328.3
42200.0 8421 -9.822 53.453 2.197 51.819 12.15 12.24 11.59 758.5 712.8 735.7 -0.08967 -0.09109 -0.09038 327.4
42300.0 8407 -8.895 55.058 4.510 53.358 15.38 15.43 11.63 796.2 747.8 772 -0.175 -0.1955 -0.1852 326.3
42400.0 8388 -6.594 56.688 6.897 55.092 19.33 19.24 11.61 842.4 795.6 819 -0.1113 -0.1747 -0.143 326.6
42500.0 8375 -3.385 57.041 8.483 55.874 21.21 20.71 11.73 844.6 810.4 827.5 0.06028 -0.01996 0.02016 327.4
42600.0 8368 0.025 54.796 8.483 54.876 19 18.65 11.49 796.4 798.7 797.5 0.2118 0.1635 0.1877 326.8
42700.0 8367 2.839 52.765 7.384 53.023 15.14 14.86 11.52 740.5 747.7 744.1 0.1942 0.1954 0.1948 327.2
42800.0 8365 4.615 51.511 5.972 51.557 12.1 11.95 11.47 711.1 712.4 711.8 0.06796 0.09161 0.07979 327.1
42900.0 8359 5.666 51.742 5.020 51.641 11.73 11.71 11.47 715.5 712.7 714.1 -0.08622 -0.06778 -0.077 326.1
43000.0 8351 6.374 53.425 4.787 53.079 14.28 14.29 11.52 756.1 746.4 751.3 -0.186 -0.18 -0.183 325.4
43100.0 8337 7.026 54.877 5.245 54.603 17.67 17.77 11.38 805.4 797.4 801.4 -0.141 -0.1604 -0.1507 325.5
43200.0 8330 6.967 55.166 6.376 55.442 19.25 19.3 11.34 816.7 824.9 820.8 0.03647 -0.01213 0.01217 326.2
43300.0 8325 6.485 54.018 7.283 54.640 17.47 17.48 11.37 781.7 799.8 790.7 0.1675 0.1539 0.1607 325.6
43400.0 8319 6.264 52.386 7.540 52.907 13.94 14.03 11.37 738.8 753.6 746.2 0.1654 0.1832 0.1743 326.1
43500.0 8313 6.717 51.308 7.237 51.539 11.49 11.56 11.31 713.7 720.2 717 0.04909 0.07544 0.06226 326
43600.0 8310 7.954 51.789 6.112 51.597 11.91 11.9 11.29 725.6 720.2 722.9 -0.1124 -0.07305 -0.09273 325
43700.0 8306 9.572 54.333 4.042 53.233 15.2 15.1 11.48 780.6 749.3 764.9 -0.2205 -0.1656 -0.1931 324.3
43800.0 8290 10.807 55.288 0.437 54.416 18.68 18.81 11.21 824.9 799.1 812 -0.174 -0.1328 -0.1534 324.5
43900.0 8284 10.124 56.115 -3.654 54.866 20.36 20.57 11.23 847.7 810.4 829 0.03308 0.01368 0.02338 325.2
44000.0 8275 7.772 54.829 -6.783 53.881 18.56 18.55 11.3 805.3 777.7 791.5 0.2124 0.1462 0.1793 324.7
44100.0 8269 5.110 52.759 -8.352 52.272 14.9 14.73 11.32 748.6 734.8 741.7 0.2192 0.1606 0.1899 325.2
44200.0 8264 2.871 51.244 -8.863 51.173 11.95 11.82 11.31 709.4 707.4 708.4 0.08816 0.04998 0.06907 325.2
44300.0 8264 1.733 52.040 -9.054 52.368 11.71 11.73 11.49 718.8 727.9 723.3 -0.08768 -0.09812 -0.0929 324.3
44400.0 8245 1.227 52.544 -9.606 52.540 13.8 13.98 11.24 746.2 746.1 746.1 -0.1787 -0.184 -0.1813 323.7
44500.0 8231 1.710 53.926 -10.148 54.169 17.1 17.31 11.14 790.8 798 794.4 -0.1465 -0.1643 -0.1554 323.9
44600.0 8223 3.009 54.579 -10.358 54.831 18.63 18.9 11.1 812.3 819.9 816.1 0.01007 -0.008842 0.0006143 324.4
44700.0 8216 4.148 53.640 -9.884 54.673 17 17.32 11.27 773 803 788 0.1575 0.1273 0.1424 323.9
44800.0 8208 4.556 51.772 -9.409 52.839 13.6 13.72 11.15 731.9 762.4 747.1 0.1728 0.1441 0.1585 324.4
44900.0 8200 3.904 50.507 -9.357 51.557 11.21 11.28 11.05 704.3 733.9 719.1 0.06188 0.03639 0.04914 324.2
45000.0 8191 2.180 50.846 -9.647 51.907 11.7 11.64 11.03 712.3 742.3 727.3 -0.09133 -0.1206 -0.106 323.4
45100.0 8189 -0.571 52.955 -9.770 53.460 15.04 14.7 11.12 761.9 776.5 769.2 -0.2012 -0.2109 -0.206 322.6
45200.0 8173 -3.787 55.226 -8.712 55.375 19.11 18.54 11.28 813.5 817.9 815.7 -0.1685 -0.1564 -0.1624 322.8
45300.0 8165 -6.791 54.669 -6.130 55.824 20.36 20.14 11 817 851.9 834.5 -0.00737 0.05718 0.02491 323.6
45400.0 8160 -8.064 54.513 -2.634 54.675 18.65 18.42 11.38 785.9 790.6 788.2 0.1179 0.2283 0.1731 322.9
45500.0 8156 -8.010 52.696 0.361 52.216 14.7 14.7 11.21 750.1 736.5 743.3 0.1468 0.233 0.1899 323.4
45600.0 8150 -7.436 51.700 2.383 50.570 11.8 11.69 11.14 729.2 697.7 713.5 0.04519 0.1024 0.07378 323.5
45700.0 8147 -7.267 51.887 3.608 50.454 11.45 11.2 11.11 734.6 694.6 714.6 -0.1019 -0.0622 -0.08207 322.5
45800.0 8137 -7.633 54.066 4.301 52.031 14.07 13.57 11.28 782.6 724.8 753.7 -0.19 -0.1781 -0.184 321.7
45900.0 8125 -8.793 55.158 3.997 54.001 17.19 17.13 11.3 810.3 776.7 793.5 -0.1446 -0.1524 -0.1485 321.9
46000.0 8112 -9.985 54.904 3.237 53.527 18.46 18.2 10.95 829.6 788.5 809.1 0.04127 -0.02256 0.009355 322.7
46100.0 8106 -10.602 53.741 1.925 52.747 16.76 16.49 10.97 793.6 764.5 779.1 0.1845 0.1249 0.1547 322.1
46200.0 8102 -10.598 51.977 1.200 51.231 13.48 13.17 10.95 747.5 726.2 736.8 0.1814 0.1404 0.1609 322.5
46300.0 8100 -10.295 50.987 1.578 50.281 11.19 10.98 10.9 723.5 703.7 713.6 0.04675 0.04415 0.04545 322.6
46400.0 8097 -9.800 51.519 2.998 50.750 11.51 11.64 10.91 735.6 713.8 724.7 -0.1193 -0.1027 -0.111 321.6
46500.0 8084 -8.706 53.307 5.157 52.334 14.5 14.86 10.93 780.6 752.4 766.5 -0.1996 -0.2164 -0.208 320.8
46600.0 8070 -6.375 54.839 7.432 55.071 18.35 18.83 11.16 805.5 812.3 808.9 -0.111 -0.207 -0.159 320.9
46700.0 8060 -3.029 54.772 8.735 55.781 20.06 20.23 11.11 807.6 837.6 822.6 0.06891 -0.048 0.01046 321.7
46800.0 8054 0.292 53.180 8.474 54.925 18.27 18.21 11.04 766.5 817.7 792.1 0.2108 0.1425 0.1766 321.1
46900.0 8046 2.671 50.893 7.345 53.005 14.52 14.39 10.96 712.1 772.5 742.3 0.1882 0.1929 0.1906 321.7
47000.0 8046 4.205 49.602 6.136 51.597 11.51 11.52 10.89 682.9 739 711 0.0594 0.08846 0.07393 321.7
47100.0 8043 5.113 49.816 5.431 51.800 11.03 11.14 10.9 686.6 742.3 714.4 -0.09167 -0.07568 -0.08367 320.7
47200.0 8036 5.783 51.295 5.150 52.609 13.31 13.35 10.86 727.9 765.7 746.8 -0.1828 -0.1754 -0.1791 320
47300.0 8024 6.248 52.786 5.679 53.954 16.43 16.57 10.75 776.5 811.2 793.9 -0.1587 -0.1453 -0.152 320.1
47400.0 8022 6.270 53.349 6.849 54.433 17.81 18.11 10.75 793.3 825.9 809.6 -0.01452 0.01801 0.001744 320.8
47500.0 8017 5.817 52.491 7.806 53.415 16.1 16.49 10.77 766.9 794.1 780.5 0.1291 0.1623 0.1457 320.2
47600.0 8013 5.427 51.029 8.223 51.831 12.91 13.21 10.74 730.4 753.5 741.9 0.1406 0.1689 0.1548 320.6
47700.0 8008 5.728 50.132 7.873 50.700 10.8 10.85 10.67 710.7 726.9 718.8 0.02365 0.06573 0.04469 320.5
47800.0 8002 6.914 50.676 6.857 50.897 11.42 11.26 10.64 725.3 731.6 728.5 -0.1457 -0.07006 -0.1079 319.6
47900.0 7994 8.445 52.821 4.946 52.108 14.56 14.42 10.66 781.4 760.5 770.9 -0.2763 -0.1334 -0.2048 318.8
48000.0 7980 9.495 54.876 1.983 53.096 18.13 18.21 10.58 846.2 792.2 819.2 -0.2172 -0.1039 -0.1606 318.9
48100.0 7974 9.072 55.627 -1.733 53.318 19.62 19.91 10.59 867.7 797.2 832.4 0.01031 0.03458 0.02244 319.5
48200.0 7970 7.229 54.583 -4.524 52.273 17.88 18.08 10.7 826.9 758.4 792.7 0.2322 0.1378 0.185 318.8
48300.0 7967 4.949 52.117 -6.116 50.839 14.33 14.26 10.73 756.5 719.9 738.2 0.2537 0.1346 0.1942 319.3
48400.0 7961 3.168 50.411 -6.793 50.039 11.45 11.3 10.71 712 701.5 706.7 0.1197 0.03486 0.0773 319.4
48500.0 7958 2.026 50.205 -7.269 50.550 10.84 10.93 10.72 704.1 713.8 709 -0.05963 -0.1 -0.07984 318.4
48600.0 7949 1.739 51.757 -7.879 52.115 13.04 13.28 10.79 739.6 749.9 744.8 -0.1722 -0.1951 -0.1837 317.4
48700.0 7936 2.363 52.942 -8.270 53.766 16.06 16.53 10.74 775.5 799.8 787.6 -0.1489 -0.1613 -0.1551 317.6
48800.0 7926 3.452 53.405 -8.485 54.338 17.53 17.86 10.81 784.6 812.2 798.4 -0.007046 0.003678 -0.001684 318.3
48900.0 7923 4.547 52.930 -8.225 53.516 16.05 16.28 10.9 764.1 781.1 772.6 0.1258 0.137 0.1314 317.6
49000.0 7919 4.883 51.742 -7.924 52.168 13 13.11 10.87 735.8 748 741.9 0.1497 0.1287 0.1392 318.1
49100.0 7912 4.512 49.893 -8.073 50.249 10.7 10.63 10.53 708 718.1 713.1 0.0659 0.01483 0.04037 318.3
49200.0 7906 3.022 50.013 -8.516 50.984 11.34 11.14 10.51 710.1 738 724 -0.07766 -0.1499 -0.1138 317.4
49300.0 7902 0.477 51.394 -8.795 52.883 14.58 14.16 10.52 744.3 788 766.2 -0.178 -0.2387 -0.2083 316.6
49400.0 7887 -2.623 52.797 -8.281 54.400 18.23 17.67 10.38 793 841.9 817.4 -0.1778 -0.1447 -0.1612 316.7
49500.0 7880 -5.488 53.748 -6.150 54.365 19.7 19.3 10.39 820.2 839.1 829.6 -0.05492 0.1046 0.02486 317.2
49600.0 7878 -7.028 53.211 -3.248 52.549 17.67 17.62 10.46 798.6 778.8 788.7 0.1143 0.268 0.1911 316.6
49700.0 7879 -7.332 51.793 -0.638 50.512 14.02 14.23 10.59 751.3 714.6 733 0.165 0.2252 0.1951 316.9
49800.0 7873 -7.251 50.506 1.294 48.867 11.17 11.21 10.52 722.4 676.3 699.3 0.07403 0.0798 0.07691 317.1
49900.0 7871 -7.270 50.503 2.570 48.935 10.76 10.54 10.51 721.3 677.2 699.3 -0.07901 -0.08839 -0.0837 316.1
50000.0 7863 -7.745 51.870 3.043 50.035 12.94 12.5 10.49 759.2 706.4 732.8 -0.1884 -0.1846 -0.1865 315.4
50100.0 7852 -8.553 53.563 2.758 51.324 16 15.56 10.42 812.9 746.4 779.7 -0.1607 -0.1648 -0.1628 315.5
50200.0 7846 -9.376 53.916 1.824 51.999 17.43 16.89 10.39 827 769.2 798.1 0.01359 -0.02683 -0.006621 316.3
50300.0 7840 -9.809 53.018 0.843 51.150 15.83 15.37 10.43 795.9 740.8 768.3 0.1548 0.112 0.1334 315.6
50400.0 7835 -9.756 51.607 0.285 49.805 12.82 12.28 10.41 759.7 707.5 733.6 0.1605 0.1198 0.1402 316.1
50500.0 7833 -9.585 50.818 0.784 48.997 10.69 10.28 10.35 741.9 689.7 715.8 0.04101 0.01365 0.02733 316.1
50600.0 7825 -9.235 51.307 2.326 49.615 11.12 11.08 10.34 754.5 705.6 730.1 -0.1077 -0.1444 -0.126 315.3
50700.0 7826 -8.471 52.921 4.704 51.988 14.31 14.44 10.41 791 763.3 777.1 -0.1781 -0.267 -0.2226 314.2
50800.0 7804 -6.237 53.568 7.142 53.853 17.94 17.94 10.22 822.9 831.7 827.3 -0.1109 -0.2361 -0.1735 314.6
50900.0 7798 -2.931 53.840 8.717 54.697 19.64 19.48 10.22 832 858.7 845.3 0.06839 -0.02976 0.01932 315.3
51000.0 7789 0.603 52.404 8.813 53.856 17.86 17.52 10.29 783 827 805 0.2109 0.1717 0.1913 314.8
51100.0 7789 3.345 50.824 7.663 52.264 14.34 13.9 10.46 729.8 771.7 750.7 0.1837 0.216 0.1998 315.4
51200.0 7784 5.216 49.201 6.434 50.398 11.17 10.84 10.31 696.8 731.2 714 0.06374 0.122 0.09287 315.6
51300.0 7780 6.431 49.328 5.711 50.163 10.51 10.35 10.29 700 723.9 712 -0.08841 -0.04059 -0.0645 314.6
51400.0 7766 7.219 50.310 5.774 51.016 12.39 12.45 10.22 729.9 750.5 740.2 -0.1682 -0.1548 -0.1615 313.9
51500.0 7756 7.498 51.813 6.577 53.389 15.34 15.79 10.38 760.2 807.2 783.7 -0.1226 -0.1544 -0.1385 314
51600.0 7754 7.123 52.089 7.960 53.834 16.7 17.11 10.35 770.9 823.5 797.2 0.03889 -0.01049 0.0142 314.7
51700.0 7752 6.301 51.012 9.069 52.633 15.12 15.41 10.31 741.9 789.8 765.8 0.1587 0.1442 0.1514 313.9
51800.0 7751 5.678 49.517 9.363 50.938 12.14 12.34 10.22 708.4 749.7 729 0.1541 0.1673 0.1607 314.3
51900.0 7747 5.864 48.602 8.861 49.576 10.24 10.19 10.11 691.4 719.4 705.4 0.02599 0.0764 0.05119 314.4
52000.0 7745 7.055 49.245 7.708 49.551 10.91 10.78 10.1 707.6 716.4 712 -0.1542 -0.06031 -0.1073 313.5
52100.0 7745 8.747 51.040 5.639 51.109 13.84 13.96 10.14 751.6 753.6 752.6 -0.2695 -0.1482 -0.2089 312.6
52200.0 7735 10.020 53.052 2.279 51.756 17.15 17.46 10.02 818.4 778.9 798.7 -0.2386 -0.08896 -0.1638 312.6
52300.0 7723 9.494 54.032 -1.611 51.867 18.59 19.08 10.02 849.1 782.4 815.8 -0.0118 0.03437 0.01129 313.5
52400.0 7718 7.503 52.993 -4.741 51.016 17 17.34 10.11 809.6 750.3 780 0.2115 0.1246 0.1681 312.8
52500.0 7718 4.966 50.851 -6.576 49.748 13.68 13.73 10.14 748.2 716 732.1 0.2351 0.1271 0.1811 313.2
52600.0 7714 2.928 49.201 -7.383 48.900 10.89 10.74 10.1 706.1 697.5 701.8 0.09961 0.02954 0.06457 313.3
52700.0 7712 1.651 49.281 -7.882 49.247 10.3 10.11 10.09 707.5 706.5 707 -0.08393 -0.1073 -0.09563 312.4
52800.0 7708 1.199 50.873 -8.462 50.697 12.32 12.23 10.11 748.8 743.6 746.2 -0.1969 -0.1943 -0.1956 311.6
52900.0 7700 1.496 54.169 -9.237 53.024 15.9 15.54 10.61 806.9 773.1 790 -0.1751 -0.1601 -0.1676 311.6
53000.0 7693 2.538 53.368 -9.560 53.025 16.94 16.76 10.3 807.8 797.4 802.6 -0.03192 0.01975 -0.006085 312.4
53100.0 7689 3.581 52.491 -9.469 51.895 15.36 15.15 10.21 787.7 769.9 778.8 0.1152 0.1578 0.1365 311.7
53200.0 7690 3.936 50.997 -9.197 50.315 12.33 12.09 10.13 752.2 732.2 742.2 0.1527 0.149 0.1508 312
53300.0 7682 3.373 49.465 -9.365 49.308 10.19 10.01 9.997 719.1 714.6 716.9 0.062 0.03042 0.04621 312.3
53400.0 7682 1.767 49.562 -9.894 49.884 10.89 10.67 9.987 719.4 728.8 724.1 -0.08139 -0.1367 -0.109 311.3
53500.0 7678 -0.889 50.850 -10.349 51.645 14.08 13.67 9.982 752.6 776.3 764.5 -0.1726 -0.2304 -0.2015 310.4
53600.0 7658 -4.627 52.125 -9.482 53.259 17.6 17.17 9.856 798 833.1 815.5 -0.1657 -0.1532 -0.1594 310.7
53700.0 7658 -7.840 53.037 -6.924 53.683 19.18 18.86 9.865 825.2 845.4 835.3 -0.02162 0.06902 0.0237 311.3
53800.0 7655 -9.461 52.296 -3.495 52.138 17.23 17.19 9.945 795.9 791.1 793.5 0.1328 0.2581 0.1955 310.6
53900.0 7651 -9.640 50.709 -0.414 49.785 13.5 13.73 9.971 751.1 724 737.6 0.1699 0.2568 0.2134 311
54000.0 7649 -9.283 49.569 1.700 48.160 10.61 10.79 9.955 721.8 681.3 701.6 0.07652 0.1153 0.09591 311.1
54100.0 7644 -9.085 49.647 2.912 48.013 10.14 9.969 9.948 723.2 676.3 699.7 -0.07568 -0.05144 -0.06356 310.2
54200.0 7635 -9.515 51.056 3.535 48.798 12.23 11.67 9.928 762.6 696.7 729.7 -0.1883 -0.1512 -0.1698 309.2
54300.0 7622 -10.201 52.720 3.311 50.023 15.09 14.58 9.864 816.4 735 775.7 -0.178 -0.1186 -0.1483 309.3
54400.0 7618 -11.118 53.360 2.326 50.450 16.39 15.91 9.831 840 750.8 795.4 -0.000951 0.005601 0.002325 310.1
54500.0 7616 -11.459 52.498 1.151 50.620 14.89 14.73 10.05 794.5 738.7 766.6 0.1652 0.1067 0.1359 309.3
54600.0 7614 -11.248 50.911 0.511 48.921 11.96 11.7 9.913 761 702.7 731.9 0.1779 0.1234 0.1506 309.7
54700.0 7610 -10.896 49.921 1.010 47.785 9.987 9.814 9.813 740.7 678.7 709.7 0.05672 0.02009 0.03841 309.9
54800.0 7609 -10.384 50.363 2.653 48.233 10.59 10.64 9.809 750.9 688.7 719.8 -0.1068 -0.1326 -0.1197 308.9
54900.0 7607 -9.233 52.190 5.183 49.937 13.65 13.82 9.859 796.5 729.3 762.9 -0.1834 -0.2508 -0.2171 308
55000.0 7598 -6.739 53.534 7.931 52.403 17.37 17.46 9.896 830.8 796.1 813.5 -0.07941 -0.2647 -0.1721 308
55100.0 7588 -3.041 53.371 9.579 54.016 19.17 18.87 9.978 819.5 839.5 829.5 0.1301 -0.09627 0.01693 308.9
55200.0 7584 0.866 51.666 9.317 53.889 17.61 16.98 10.11 758.1 824.7 791.4 0.2361 0.1406 0.1884 308.1
55300.0 7584 3.801 49.773 7.846 52.300 13.97 13.54 10.14 705.8 779.3 742.5 0.1929 0.2176 0.2053 308.5
55400.0 7582 5.695 48.029 6.438 49.636 10.68 10.49 9.816 681.6 728 704.8 0.07472 0.1307 0.1027 308.6
55500.0 7579 6.782 48.308 5.520 49.571 9.92 9.988 9.852 685.6 721.9 703.8 -0.06966 -0.0471 -0.05838 307.6
55600.0 7576 7.444 50.229 5.533 50.662 11.98 11.99 9.936 731.5 744.1 737.8 -0.1659 -0.1655 -0.1657 306.8
55700.0 7562 8.232 51.085 6.521 51.879 14.69 14.86 9.771 767.7 791.8 779.7 -0.1174 -0.1398 -0.1286 306.9
55800.0 7555 7.921 51.341 7.827 52.317 15.9 16.11 9.728 779.8 809.7 794.8 0.05613 0.0112 0.03366 307.7
55900.0 7550 7.137 50.172 8.918 51.352 14.24 14.64 9.761 741.8 777.1 759.4 0.1896 0.1584 0.174 307.1
56000.0 7548 6.527 48.514 9.156 49.908 11.42 11.75 9.75 697.4 738 717.7 0.1838 0.173 0.1784 307.4
56100.0 7544 6.745 47.572 8.680 48.947 9.722 9.857 9.712 674.6 714.1 694.4 0.05191 0.06887 0.06039 307.6
56200.0 7539 7.945 48.088 7.396 49.442 10.54 10.57 9.737 684.7 723.7 704.2 -0.1333 -0.0711 -0.1022 306.7
56300.0 7533 9.600 50.221 5.085 51.196 13.51 13.75 9.889 730.4 759 744.7 -0.2689 -0.1466 -0.2078 305.9
56400.0 7522 10.831 52.335 1.516 52.807 16.79 17.57 10.13 770.6 784.6 777.6 -0.2217 -0.1102 -0.1659 306
56500.0 7514 10.214 53.275 -2.632 54.280 18.31 19.54 10.55 767.7 797 782.4 -0.01425 0.004799 -0.004723 306.8
56600.0 7508 7.785 51.999 -6.065 50.349 16.54 16.77 9.612 802.6 752.5 777.5 0.2071 0.1694 0.1883 306.2
56700.0 7505 4.997 50.024 -7.845 48.830 13.25 13.27 9.645 744.9 709.7 727.3 0.2487 0.1606 0.2046 306.6
56800.0 7506 2.714 48.633 -8.528 48.069 10.56 10.38 9.686 703.8 687.6 695.7 0.1237 0.04395 0.08383 306.6
56900.0 7501 1.325 48.265 -9.004 48.336 9.835 9.646 9.662 693.7 695.7 694.7 -0.04274 -0.1023 -0.07251 305.7
57000.0 7494 0.629 48.940 -9.627 49.800 11.56 11.5 9.642 711.5 736.7 724.1 -0.1555 -0.1878 -0.1716 304.8
57100.0 7482 1.219 50.318 -10.594 51.089 14.34 14.18 9.553 757.3 780.6 769 -0.1569 -0.1393 -0.1481 304.9
57200.0 7479 2.500 51.238 -11.082 51.453 15.63 15.54 9.528 788 794.6 791.3 -0.02217 0.03947 0.00865 305.7
57300.0 7476 3.865 50.624 -11.022 50.398 14.1 14.14 9.529 768.6 761.7 765.2 0.1434 0.1774 0.1604 305
57400.0 7473 4.495 49.003 -10.678 48.814 11.27 11.29 9.507 725.1 719.5 722.3 0.1863 0.167 0.1766 305.4
57500.0 7469 4.003 47.673 -10.624 47.913 9.515 9.511 9.453 691.5 698.5 695 0.08709 0.03833 0.06271 305.5
57600.0 7468 2.319 47.696 -10.955 48.452 10.34 10.23 9.458 688.6 710.6 699.6 -0.06775 -0.1281 -0.09792 304.5
57700.0 7469 -0.517 49.086 -11.110 50.596 13.42 13.22 9.543 717.4 762.3 739.8 -0.1841 -0.2261 -0.2051 303.6
57800.0 7460 -4.060 50.990 -10.153 52.423 16.93 16.66 9.653 761.8 805.2 783.5 -0.1805 -0.1481 -0.1643 303.6
57900.0 7455 -7.395 51.663 -7.606 51.965 18.31 17.97 9.447 799.5 808.9 804.2 -0.0353 0.07295 0.01883 304.4
58000.0 7453 -9.009 51.136 -3.971 50.613 16.6 16.42 9.499 778.9 763 770.9 0.1237 0.2425 0.1831 303.6
58100.0 7453 -9.126 49.847 -0.646 48.690 13.21 13.2 9.568 739.2 705.4 722.3 0.1649 0.2314 0.1982 304
58200.0 7450 -8.489 48.544 1.560 47.220 10.36 10.3 9.525 707.4 669.3 688.4 0.06578 0.09855 0.08217 304.2
58300.0 7444 -8.043 48.591 2.911 47.209 9.696 9.461 9.513 708.5 668.8 688.6 -0.07993 -0.07638 -0.07816 303.3
58400.0 7440 -8.235 49.991 3.722 48.929 11.62 11.23 9.591 740.3 709.2 724.8 -0.1897 -0.1899 -0.1898 302.4
58500.0 7434 -9.115 51.412 3.793 49.998 14.45 13.86 9.486 789.3 746.5 767.9 -0.1586 -0.1578 -0.1582 302.4
58600.0 7429 -10.255 51.930 3.022 50.538 15.72 15.15 9.476 807.1 764.4 785.7 -0.009703 0.01664 0.003468 303.2
58700.0 7425 -10.863 51.221 1.885 49.625 14.24 13.74 9.476 784.8 736.6 760.7 0.1391 0.1616 0.1503 302.5
58800.0 7422 -10.826 49.837 1.267 48.049 11.39 11 9.455 748 695.3 721.7 0.156 0.1692 0.1626 302.9
58900.0 7422 -10.551 48.915 1.724 47.090 9.606 9.348 9.422 724.3 671.2 697.7 0.03282 0.05498 0.0439 303
59000.0 7421 -9.961 49.523 3.255 47.501 10.35 10.27 9.431 738.2 679.1 708.7 -0.1322 -0.1016 -0.1169 302
59100.0 7417 -8.588 51.579 5.654 49.118 13.49 13.41 9.485 790.5 716.8 753.7 -0.2048 -0.2165 -0.2106 301.2
59200.0 7399 -6.302 52.276 8.142 50.985 16.79 16.82 9.337 821.6 781.5 801.6 -0.09933 -0.2178 -0.1586 301.4
59300.0 7388 -2.653 52.240 9.495 51.927 18.4 18.14 9.332 821.6 811.8 816.7 0.1068 -0.04024 0.03328 302.4
59400.0 7384 0.945 50.699 9.185 51.184 16.75 16.33 9.388 769.4 784.1 776.7 0.2452 0.1721 0.2087 301.7
59500.0 7381 3.670 48.512 7.920 49.414 13.26 12.89 9.405 707.9 734.5 721.2 0.2266 0.2257 0.2262 302.1
59600.0 7382 5.373 47.535 6.623 48.158 10.41 10.21 9.476 677.2 695.1 686.2 0.07608 0.1164 0.09625 302.2
59700.0 7375 6.481 47.373 5.698 47.748 9.477 9.466 9.417 675.8 686.5 681.2 -0.07787 -0.04204 -0.05995 301.3
59800.0 7367 7.015 48.421 5.604 48.757 11.09 11.14 9.401 704.2 714 709.1 -0.1705 -0.1546 -0.1625 300.5
59900.0 7355 7.210 49.858 6.251 49.986 13.68 13.74 9.309 752.4 756.3 754.4 -0.1576 -0.126 -0.1418 300.7
60000.0 7349 6.970 50.299 7.284 50.409 14.78 14.99 9.269 770.3 773.7 772 0.005837 0.0148 0.01032 301.5
