# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
6100.0 11304 5.822 66.830 -2.991 67.452 28.77 28.76 18.01 914.5 931.6 923.1 -0.008637 0.03746 0.01441 396.3
6200.0 11305 4.029 65.799 -4.567 66.027 26.07 26.08 18.21 877.9 884 880.9 0.1371 0.1595 0.1483 395.7
6300.0 11309 2.097 64.313 -5.195 63.792 21.29 20.9 18.16 844 830.4 837.2 0.1367 0.1534 0.145 395.8
6400.0 11314 0.532 63.222 -5.320 62.819 18.34 17.97 18.09 819.6 809.2 814.4 0.02441 0.02748 0.02595 395.5
6500.0 11311 -0.537 63.848 -5.288 63.621 20.02 19.68 18.09 831.9 826 829 -0.1245 -0.1329 -0.1287 394.1
6600.0 11301 -1.162 65.839 -5.640 66.135 25.73 25.55 18.23 872.4 880.3 876.4 -0.2141 -0.2293 -0.2217 393.7
6700.0 11268 -1.261 67.191 -6.543 67.284 31.7 31.57 17.93 919.5 922 920.7 -0.1701 -0.1728 -0.1715 394
6800.0 11256 -0.652 67.466 -7.537 67.498 33.99 34.21 17.84 930.3 931.2 930.7 0.01665 0.008576 0.01261 394.5
6900.0 11254 0.389 66.260 -8.158 66.319 30.97 31.1 18.04 888.7 890.3 889.5 0.1634 0.1516 0.1575 393.8
7000.0 11262 1.089 64.453 -8.348 64.640 24.87 25.03 18.13 841.5 846.4 844 0.1622 0.1564 0.1593 393.7
7100.0 11266 1.021 62.787 -8.537 63.039 19.41 19.55 17.84 814.3 820.9 817.6 0.05166 0.04621 0.04893 393.3
7200.0 11265 0.021 63.422 -8.650 63.729 18 18.08 17.94 824.2 832.2 828.2 -0.1086 -0.09832 -0.1035 392.1
7300.0 11260 -1.762 65.874 -8.619 65.604 21.6 21.63 18.11 876.9 869.7 873.3 -0.2181 -0.1832 -0.2007 391.4
7400.0 11211 -3.824 67.165 -7.636 66.722 26.52 26.62 17.79 926.9 914.7 920.8 -0.1732 -0.1321 -0.1527 392.1
7500.0 11191 -5.759 67.059 -5.836 66.749 28.4 28.82 17.49 939.3 930.7 935 -0.002439 0.02932 0.01344 392.7
7600.0 11196 -6.659 66.095 -3.377 65.907 25.88 26.23 17.76 899 893.9 896.4 0.1529 0.1491 0.151 391.9
7700.0 11195 -6.422 64.104 -1.362 64.133 20.79 20.93 17.67 853.5 854.3 853.9 0.1704 0.1459 0.1582 392
7800.0 11198 -5.856 62.904 -0.150 63.231 17.74 17.7 17.63 825.1 833.7 829.4 0.06462 0.03158 0.0481 391.7
7900.0 11200 -5.383 63.816 0.573 64.249 19.46 19.42 17.8 836.6 847.9 842.3 -0.08213 -0.1203 -0.1012 390.3
8000.0 11195 -5.482 65.856 0.699 66.449 25.16 25.22 18.2 865.8 881.5 873.6 -0.1738 -0.2051 -0.1894 389.8
8100.0 11151 -5.566 67.605 0.796 67.435 31.25 30.87 18.34 902.4 897.9 900.2 -0.1356 -0.1541 -0.1449 390.3
8200.0 11143 -5.837 68.297 0.357 68.328 33.94 33.58 18.88 892.7 893.5 893.1 0.001886 0.01683 0.009357 390.6
8300.0 11142 -5.847 66.170 -0.230 66.146 30.31 30.24 18.18 871.8 871.1 871.5 0.1399 0.1705 0.1552 390.1
8400.0 11151 -5.660 63.338 -0.458 63.469 23.91 24.05 17.47 835.2 838.6 836.9 0.1601 0.1838 0.1719 389.9
8500.0 11153 -5.431 62.073 0.062 62.416 18.81 19.05 17.44 806.7 815.7 811.2 0.05769 0.0521 0.0549 389.7
8600.0 11152 -4.953 62.563 1.360 62.670 17.6 17.52 17.44 817.3 820.1 818.7 -0.08625 -0.09828 -0.09226 388.4
8700.0 11137 -4.053 64.384 2.988 64.399 21.14 20.66 17.53 858.3 858.6 858.5 -0.1874 -0.1771 -0.1822 388
8800.0 11100 -2.149 65.253 4.537 65.688 25.85 25.37 17.19 896.8 908.8 902.8 -0.1537 -0.1195 -0.1366 388.5
8900.0 11088 0.298 66.169 5.339 65.673 27.95 27.67 17.19 921.1 907.3 914.2 -0.01589 0.06825 0.02618 388.8
9000.0 11086 2.778 65.369 4.890 64.594 25.37 25.21 17.46 885.3 864.5 874.9 0.1292 0.1931 0.1612 388.1
9100.0 11093 4.610 63.747 3.829 62.523 20.46 20.35 17.42 847.3 815.1 831.2 0.1481 0.18 0.164 388
9200.0 11088 5.827 61.821 2.903 60.897 17.2 17.21 17.11 812.8 788.7 800.8 0.05686 0.06116 0.05901 387.9
9300.0 11089 6.581 62.378 2.489 61.522 18.75 18.56 17.16 821.2 798.8 810 -0.08735 -0.09944 -0.09339 386.6
9400.0 11076 7.219 64.190 2.982 63.169 23.96 23.61 17.19 863.2 836 849.6 -0.1713 -0.1968 -0.1841 386.1
9500.0 11037 7.438 65.615 4.187 65.142 29.51 29.35 17.18 899.6 886.6 893.1 -0.1277 -0.172 -0.1498 386.6
9600.0 11021 6.906 65.504 5.716 65.769 31.59 31.82 17.15 897.2 904.5 900.8 0.04085 -0.009757 0.01555 387.1
9700.0 11022 5.887 65.231 6.845 64.948 29.31 29.04 17.72 861.8 854.3 858.1 0.1638 0.1223 0.143 386.5
9800.0 11027 5.000 62.862 7.105 63.126 23.49 23.25 17.29 824.9 831.9 828.4 0.1583 0.1511 0.1547 386.4
9900.0 11027 4.732 61.246 6.831 61.190 18.35 18.23 16.91 803.9 802.4 803.2 0.04637 0.05668 0.05152 386.3
10000.0 11029 5.194 61.647 5.852 61.519 16.94 17.16 16.92 811.7 808.4 810 -0.09737 -0.09329 -0.09533 385.1
10100.0 11015 6.122 63.448 4.176 63.291 20.13 20.61 17.01 852.7 848.5 850.6 -0.1767 -0.1945 -0.1856 384.8
10200.0 10982 6.790 64.757 2.011 65.078 24.9 25.36 16.84 894.7 903.6 899.2 -0.1243 -0.1632 -0.1438 385.2
10300.0 10975 6.417 65.048 -0.989 66.509 27.14 27.86 17.28 878.8 918.7 898.8 0.02982 -0.001414 0.0142 385.7
10400.0 10973 4.804 63.572 -3.350 65.324 24.71 25.07 17.27 840.9 887.9 864.4 0.1508 0.1308 0.1408 385.3
10500.0 10978 2.533 61.891 -4.552 63.202 20.05 20.13 17.06 810.2 844.9 827.5 0.1443 0.1407 0.1425 385.2
10600.0 10982 0.747 60.714 -5.154 61.728 17.03 16.91 16.86 789.9 816.5 803.2 0.03582 0.03929 0.03755 385
10700.0 10970 -0.461 61.235 -5.517 61.740 18.32 18.06 16.77 804.6 818 811.3 -0.1122 -0.1007 -0.1065 383.9
10800.0 10954 -0.956 63.665 -6.272 63.522 23.43 23.31 16.97 854.7 850.8 852.8 -0.2006 -0.1953 -0.1979 383.4
10900.0 10904 -0.684 65.004 -7.515 65.198 28.74 28.96 16.92 891.3 896.6 894 -0.1515 -0.162 -0.1568 384.2
11000.0 10889 0.633 64.892 -8.393 65.382 30.74 31.24 16.72 897.9 911.5 904.7 0.02438 0.004927 0.01465 384.7
11100.0 10886 1.867 63.001 -8.492 63.743 27.59 28.27 16.44 861.3 881.7 871.5 0.1791 0.1543 0.1667 384
11200.0 10887 2.622 61.128 -8.447 62.335 22.27 22.79 16.61 807.2 839.4 823.3 0.1721 0.1532 0.1627 384.1
