 #VirtualDetector/det-1                                                          
  output from Ecalc9 version 2 
  settings: 
    particle type:            0
    pzmin/pzmax:    0.0000000000000000      /   0.0000000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    0.0000000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    24  0.8200E+01 -0.3281E+01  0.6327E-02  0.3717E-02  0.4240E-06  0.6567E-02  0.1963E+00  0.6588E+00  0.1103E+00  0.7139E+01 -0.3179E+01  0.1000E+03  0.1000E+03  0.1000E+03  0.6309E-03  0.9646E-02  0.6154E-09  0.1238E-01  0.1617E-07  0.9641E-02  0.4486E-02  0.7163E-02 -0.6210E-01 -0.6455E-01  0.1992E+00  0.5009E-01
    25  0.8550E+01 -0.3229E-03  0.6166E-02  0.4919E-02  0.4160E-06 -0.5649E-01  0.1987E+00  0.4420E+00  0.1536E+00  0.6583E+01 -0.2565E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.1902E-02  0.9647E-02  0.6425E-09  0.2715E-01  0.1769E-07  0.9626E-02 -0.3359E-02  0.9454E-02 -0.2775E-02 -0.2445E-01  0.8317E-01  0.5777E-01
    26  0.8900E+01  0.3280E+01  0.6173E-02  0.5342E-02  0.4382E-06 -0.8698E-01  0.1964E+00  0.5100E+00 -0.8345E-01  0.6597E+01 -0.2471E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.3561E-02  0.9647E-02  0.6675E-09  0.2917E-01  0.1823E-07  0.9624E-02  0.3569E-04  0.1103E-01  0.4614E-01  0.5400E-01 -0.1486E-01  0.6614E-01
    27  0.9250E+01 -0.2989E-03  0.6202E-02  0.5430E-02  0.4589E-06 -0.5479E-01  0.1989E+00  0.5218E+00 -0.2109E+00  0.7035E+01 -0.2516E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.2282E-02  0.9647E-02  0.6941E-09  0.2524E-01  0.1894E-07  0.9629E-02  0.3452E-02  0.6996E-02  0.1178E+00  0.3824E-01  0.1660E-01  0.3567E-01
    28  0.9600E+01 -0.3281E+01  0.6168E-02  0.5984E-02  0.4620E-06  0.6375E-02  0.1962E+00  0.7514E+00  0.4875E-02  0.7101E+01 -0.2412E+01  0.1000E+03  0.1000E+03  0.1000E+03  0.1771E-03  0.9647E-02  0.7210E-09  0.3830E-01  0.1991E-07  0.9610E-02 -0.3593E-03  0.3397E-02  0.1095E+00  0.1351E+00  0.1482E+00  0.1309E-01
    29  0.9950E+01 -0.3205E-03  0.6221E-02  0.5400E-02  0.4949E-06 -0.5272E-01  0.1988E+00  0.5138E+00  0.1979E+00  0.8342E+01 -0.2777E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.2527E-02  0.9647E-02  0.7488E-09  0.3727E-01  0.2073E-07  0.9610E-02  0.4455E-02 -0.2130E-03 -0.4611E-01  0.1261E+00  0.2223E+00  0.3301E-01
    30  0.1030E+02  0.3281E+01  0.6190E-02  0.5592E-02  0.5149E-06 -0.8256E-01  0.1964E+00  0.5221E+00  0.5573E-01  0.8527E+01 -0.2785E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.4004E-02  0.9647E-02  0.7767E-09  0.3669E-01  0.2151E-07  0.9611E-02  0.7355E-02 -0.8761E-02 -0.7481E-01  0.9205E-01  0.1314E+00  0.8187E-01
    31  0.1065E+02 -0.3111E-03  0.6174E-02  0.5588E-02  0.5299E-06 -0.5360E-01  0.1987E+00  0.4638E+00 -0.1282E+00  0.9208E+01 -0.2881E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.2609E-02  0.9647E-02  0.8019E-09  0.3565E-01  0.2200E-07  0.9612E-02  0.3264E-03 -0.1360E-01 -0.9027E-01  0.5614E-01 -0.4737E-01  0.9310E-01
    32  0.1100E+02 -0.3281E+01  0.6319E-02  0.4600E-02  0.5719E-06  0.7679E-02  0.1963E+00  0.6556E+00 -0.6074E-01  0.1086E+02 -0.3550E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.3635E-03  0.9647E-02  0.8275E-09  0.2514E-01  0.2250E-07  0.9627E-02  0.6402E-02 -0.1185E-01 -0.1273E+00 -0.1232E+00  0.1062E-01  0.9416E-01
    33  0.1135E+02 -0.3104E-03  0.6525E-02  0.4068E-02  0.6423E-06 -0.4311E-01  0.1987E+00  0.5112E+00  0.6371E-02  0.1256E+02 -0.4065E+01  0.1000E+03  0.1000E+03  0.1000E+03 -0.3278E-02  0.9647E-02  0.8585E-09  0.1427E-01  0.2208E-07  0.9639E-02  0.3591E-02 -0.7509E-02  0.7470E-01 -0.1889E+00  0.2102E+00  0.6073E-01
